n_labels,paper_m1_tsvm,mnist_m1_svm,fashion_mnist_m1_svm
100,11.82,20.899999999999995,36.67
600,5.72,8.320000000000006,26.859999999999996
1000,4.24,7.410000000000005,25.97000000000001
3000,3.49,5.549999999999999,23.15000000000001
